# CoVaR 행렬 설명:
# - 행(row): 영향을 받는 자산
# - 열(column): 영향을 주는 자산
# - 값: 열의 자산이 위기 상황일 때 행의 자산의 CoVaR 값

Ticker,069500.KS,114260.KS,148070.KS,229200.KS,ACWI,ACWX,BNDX,EFA,EMB,GLD,IEF,TLT,USO,VNQ,VWO
069500.KS,,-0.06562592953080988,-0.05703001129998461,-0.08795308750786163,-0.06790322205894822,-0.07071349138392195,-0.061268028716388895,-0.06999900369264482,-0.07122317160097143,-0.06133798301809775,-0.04498899609814852,-0.04510087478831655,-0.05277432370102372,-0.06747926830086622,-0.06836331910637465
114260.KS,-0.0030400626294225636,,-0.004017622356750356,-0.0031066096780335427,-0.0021558551437309823,-0.0021229276837875515,-0.002635175488640276,-0.0021416130155297035,-0.002240768386476859,-0.0028963548819987838,-0.0027299637124896183,-0.002517011767560855,-0.0019447679105486571,-0.002249392921170422,-0.0020922713586387738
148070.KS,-0.009373661216833829,-0.014170758491155042,,-0.010033231092840423,-0.007621232560189921,-0.007506449794986167,-0.009639639781631812,-0.007590957085664955,-0.007638648137812511,-0.009685417226495128,-0.009545801097454683,-0.008888850601868059,-0.006638383419759293,-0.008023527925642173,-0.007482858174391695
229200.KS,-0.0909776080166188,-0.06858530331223694,-0.0623300275924741,,-0.071863052952997,-0.07409883463659614,-0.06226066015050431,-0.07308439235401074,-0.07065779981418514,-0.06481555658397352,-0.04152203422216892,-0.04181401883009617,-0.05166389484762718,-0.06917318530346235,-0.07291673721745001
ACWI,-0.08458805367460774,-0.054388847956240674,-0.05549208092686211,-0.08761829907515532,,-0.11320478666607955,-0.08155544826772938,-0.11346959018830559,-0.09794345419005178,-0.07357656616116387,-0.02541907986360498,-0.0304466464983827,-0.07851721295133515,-0.1085633270543924,-0.10922196976024091
ACWX,-0.08728749863703363,-0.05342427509187858,-0.054524295623383554,-0.08930477365825873,-0.1115756008525293,,-0.08457119648246574,-0.11281625980686434,-0.10062096536489915,-0.07454418168578987,-0.03075613469514856,-0.03525665659120443,-0.07797980953091019,-0.10602052678277633,-0.10914967797705964
BNDX,-0.010520741649954306,-0.00949443712233731,-0.010044325716893608,-0.0105381776836729,-0.011348445172475794,-0.01192681400674607,,-0.01192448186529673,-0.01280061259690398,-0.011899226244820272,-0.009905355444952918,-0.010244888323072195,-0.00910000186102703,-0.011626225089528357,-0.011583436543788376
EFA,-0.08353101516473393,-0.05234469023331836,-0.05354384691317344,-0.08520070654683015,-0.10801437340316145,-0.1089606234866773,-0.08176495273434177,,-0.09648800877746819,-0.07339512894596278,-0.029994496475478413,-0.03437001980600962,-0.07443819342946449,-0.10265668710610093,-0.10463095172157658
EMB,-0.058475808826094405,-0.03743375013767876,-0.03653244299414218,-0.05669609770544271,-0.06446532041694207,-0.06710019102256432,-0.060051661788700895,-0.06658008026214192,,-0.05056007262890738,-0.03891626774724839,-0.04127374461057855,-0.0554237823403898,-0.06322643678516963,-0.06520366373466392
GLD,-0.03452120350349806,-0.034957402259648274,-0.03338281415507976,-0.0357384730862436,-0.03351808759146436,-0.03412162803880611,-0.03812609395704063,-0.034656115230511514,-0.03482575032710303,,-0.031103233766508295,-0.031873467937916226,-0.028181824637767375,-0.03308373787647435,-0.03311705966888044
IEF,-0.010396309132443845,-0.013733612052910169,-0.013722995999532563,-0.00968070554306891,-0.004611811532706625,-0.005517098726965641,-0.013699133916072371,-0.005517696266769168,-0.011224606659438818,-0.012830180783854811,,-0.02309446388599575,-0.009211424900831712,-0.005448851347329115,-0.0056527877343288445
TLT,-0.031204405000714586,-0.0375379309436314,-0.038066078834250325,-0.02909220888961755,-0.016104004382331952,-0.018691624110488886,-0.04282835472664242,-0.01872258622706059,-0.03588730214889729,-0.0399161697617552,-0.07081493195157523,,-0.029040827374986384,-0.018526556511608134,-0.01907125227178221
USO,-0.17576184672157863,-0.13117122148844143,-0.12899941441824214,-0.1716428297830325,-0.21068235343135344,-0.21099724989668092,-0.17957277684564718,-0.20822730132184553,-0.22556321094441723,-0.16281727741705504,-0.13395042079044808,-0.14086925576641346,,-0.2019390252408826,-0.21130622945666008
VNQ,-0.10693217255730057,-0.07081749149070071,-0.07308044473392901,-0.10742100241200961,-0.14001687240061092,-0.13856776835334422,-0.10608327823351879,-0.1389079123290537,-0.12315771028785578,-0.09133139076607821,-0.033619778336514694,-0.03997373120033322,-0.09493472471480427,,-0.13326204779766843
VWO,-0.08331472916471105,-0.04970679484139767,-0.05162984837046896,-0.08710701888246368,-0.1079821004221953,-0.10950771436534074,-0.08120495717590172,-0.10862874375477,-0.09755662273891272,-0.0703654294413733,-0.027457426582805325,-0.03213391237112821,-0.07672282531574202,-0.10216894386762347,
