# CoVaR 행렬 설명:
# - 행(row): 영향을 받는 자산
# - 열(column): 영향을 주는 자산
# - 값: 열의 자산이 위기 상황일 때 행의 자산의 CoVaR 값

Ticker,069500.KS,114260.KS,148070.KS,229200.KS,ACWI,ACWX,BNDX,EFA,EMB,GLD,IEF,TLT,USO,VNQ,VWO
069500.KS,,-0.017487166178815457,-0.01691652568752928,-0.027862344653404855,-0.020819419850654147,-0.022052733810353557,-0.016517155717158682,-0.02135593822893496,-0.019638351530698893,-0.016794438879027696,-0.014934459209636998,-0.014822852293332843,-0.018116657430395613,-0.019592168754213324,-0.02206341572241662
114260.KS,-0.0019581758603286763,,-0.0032691047641717954,-0.001985198104628075,-0.0017453601002666067,-0.00174586000040709,-0.0021145880992283848,-0.0017643603189998979,-0.0019111324500858306,-0.002008658180497315,-0.002123429496541727,-0.002041924767621096,-0.0017443448247557091,-0.0018728539166755645,-0.0016928867971678684
148070.KS,-0.005224828231719817,-0.008428340762467615,,-0.0053093941949975305,-0.004993887685132343,-0.0050229717074226545,-0.006051368504486358,-0.005070788998233923,-0.005324631631588965,-0.0054422431615641035,-0.005805539584773178,-0.005655987927978629,-0.004900893262942725,-0.005297529298222341,-0.004935136500823094
229200.KS,-0.04499161598349506,-0.029316375672588643,-0.028547680145827224,,-0.032930545895061676,-0.03404108801195143,-0.028041567038861428,-0.03317666489462001,-0.031053311010115336,-0.02846084033418665,-0.02597060949665412,-0.026223443067031706,-0.028735907764839284,-0.03083425935324484,-0.03429453634804692
ACWI,-0.020350264876981487,-0.01479766668781343,-0.015105292986245342,-0.01946533339498385,,-0.031090488256051797,-0.01760505430775075,-0.030919938038986024,-0.02455007413934103,-0.016874024805943424,-0.01202597685529399,-0.011243263629392241,-0.0211298760753214,-0.02763486993655069,-0.029794495105625055
ACWX,-0.02274164673254083,-0.016055114271357987,-0.016449800875147448,-0.02133192183142668,-0.03175034262956231,,-0.018810429817838106,-0.03297923297944292,-0.02630343501894377,-0.01903165818795445,-0.013649388512866806,-0.012838718175325892,-0.022746728796267768,-0.027885248596572675,-0.03226945849591164
BNDX,-0.003780198357409152,-0.004286235927721472,-0.004507619899664786,-0.003861729602910431,-0.0042220749922699296,-0.004233884946543577,,-0.004209941553005397,-0.005414429498277987,-0.005037374197444506,-0.006529433690467363,-0.00627388298201436,-0.0035076824721214173,-0.0047699078109556476,-0.004189678105050937
EFA,-0.021644017057084384,-0.015938964502300867,-0.016346299392331204,-0.02039800761363523,-0.031122744245660004,-0.032498144973639786,-0.0184020383984409,,-0.025596635741537466,-0.018348939562319592,-0.01337235066008145,-0.012512357795786189,-0.021996695647283415,-0.027535022196413926,-0.030390011110334264
EMB,-0.011131032714673465,-0.009303650405611392,-0.00937972613290925,-0.010530963155115479,-0.01471215362073884,-0.015286742761549727,-0.013896645755331427,-0.015075003171079803,,-0.011678903700565398,-0.012353358132663837,-0.011970195258714178,-0.011673759279034914,-0.014444276051084056,-0.014951980508060023
GLD,-0.014281696484054038,-0.01509427072957298,-0.014908874579953385,-0.014539495056638239,-0.01499748318832599,-0.015682141329961645,-0.01810690689113022,-0.015413122491269502,-0.017010879798613567,,-0.01933968310882744,-0.018122706970882245,-0.014358311805593105,-0.015427592055043333,-0.015835265722222127
IEF,-0.005828627167180538,-0.007276282922208498,-0.007304548343157758,-0.006051553568904016,-0.005256942379640751,-0.005351556124436325,-0.010875207907136879,-0.005336138568974018,-0.008265991074486027,-0.009085024691109266,,-0.01218375109345061,-0.00528667555387752,-0.006360654744151904,-0.005431180369879681
TLT,-0.013367090334972942,-0.016257117654978337,-0.016432023029174653,-0.01412159593389312,-0.011541632297066878,-0.011713446744452351,-0.02411495672947248,-0.011629139907743146,-0.01860607398430782,-0.019541729841756984,-0.028071368877587842,,-0.01201624158800257,-0.013917207173372295,-0.012146213444305571
USO,-0.04255816316514125,-0.03691446933885805,-0.036861980291401704,-0.040521271038924216,-0.05115479451057751,-0.05253958837470537,-0.03558861699172564,-0.051595505847873965,-0.04829524007120803,-0.03946472324716369,-0.03090600795621798,-0.030319776875771358,,-0.04645563804422731,-0.05206322227072666
VNQ,-0.02430553584029731,-0.020554560917751766,-0.020968423916528905,-0.023050324288626467,-0.034816741303329526,-0.03414305036228443,-0.025822462189256212,-0.034226775303928855,-0.030574539546819022,-0.02254335739062344,-0.01983989354164112,-0.018639932273844823,-0.024392025186101896,,-0.032188066496430356
VWO,-0.0260086805387234,-0.01823029729229922,-0.01879338643069901,-0.024652823593722038,-0.03446333211913381,-0.036392393106636944,-0.021484802269278062,-0.03483674266713712,-0.029338800022177765,-0.022186949083931002,-0.01632196535348492,-0.015774595170156013,-0.02577854359118611,-0.029913325565910667,
